id_movimentacao;id_produto;data_movimentacao;quantidade;tipo;valor_total
85;29;2025-07-11 00:00:00;33;S;16309.29
86;23;2025-05-19 00:00:00;923;E;467680.2
87;3;2024-09-22 00:00:00;25;S;12262.83
88;7;2025-06-20 00:00:00;453;E;290890.91
89;5;2025-05-17 00:00:00;33;S;9770.44
90;1;2025-07-08 00:00:00;210;E;18495.51
91;30;2026-03-15 00:00:00;5;S;1030.49
92;33;2025-04-25 00:00:00;110;E;21030.59
93;30;2025-08-11 00:00:00;32;S;6228.74
94;4;2025-11-16 00:00:00;256;E;122125.13
95;49;2024-06-10 00:00:00;475;E;218040.07
96;19;2025-02-20 00:00:00;111;E;30105.52
97;3;2025-03-31 00:00:00;442;E;247584.91
98;37;2026-02-24 00:00:00;42;S;18606.4
99;21;2025-10-01 00:00:00;186;E;61104.13
100;13;2026-01-18 00:00:00;267;E;54282.82
101;19;2025-10-25 00:00:00;69;S;20366.72
102;2;2026-01-29 00:00:00;198;E;123548.0
103;21;2025-04-03 00:00:00;17;S;4482.63
104;34;2025-05-11 00:00:00;552;E;92191.88
105;45;2025-08-25 00:00:00;28;S;2826.19
106;28;2025-07-22 00:00:00;15;S;7544.59
107;26;2026-05-18 00:00:00;12;S;5386.54
108;44;2025-11-29 00:00:00;25;S;4864.44
109;1;2024-06-27 00:00:00;139;E;12022.99
110;5;2024-08-22 00:00:00;138;E;40643.68
111;48;2025-02-23 00:00:00;6;S;384.12
112;10;2025-06-27 00:00:00;22;S;3330.77
113;11;2026-05-23 00:00:00;9;S;6001.56
114;41;2025-11-12 00:00:00;91;S;63337.63
115;24;2025-12-24 00:00:00;455;E;298886.66
116;29;2025-09-04 00:00:00;35;S;19595.64
117;38;2026-06-01 00:00:00;916;E;551591.84
118;40;2025-01-30 00:00:00;55;S;23118.04
119;24;2025-12-25 00:00:00;1516;E;1066417.03
120;44;2024-10-18 00:00:00;595;E;127966.76
121;37;2025-04-24 00:00:00;130;E;56080.89
122;35;2024-11-19 00:00:00;146;S;13430.03
123;39;2024-10-13 00:00:00;10;S;4473.46
124;14;2025-06-23 00:00:00;34;S;13979.87
125;42;2024-09-17 00:00:00;135;E;57094.95
126;40;2024-09-14 00:00:00;126;E;55645.8
127;44;2025-11-09 00:00:00;482;E;102798.58
128;28;2024-07-17 00:00:00;22;S;8400.92
129;7;2025-05-02 00:00:00;57;S;33919.39
130;21;2026-06-07 00:00:00;22;S;7021.06
131;40;2025-01-21 00:00:00;10;S;4508.55
132;4;2025-07-15 00:00:00;81;E;34534.27
133;48;2025-08-26 00:00:00;35;S;2091.25
134;16;2026-05-26 00:00:00;258;E;128349.62
135;10;2025-04-09 00:00:00;41;S;5866.99
136;13;2025-11-17 00:00:00;95;S;15001.32
137;33;2024-11-27 00:00:00;86;E;15218.17
138;34;2026-02-08 00:00:00;68;S;13291.33
139;7;2024-07-02 00:00:00;400;E;228503.52
140;33;2025-10-11 00:00:00;48;S;7020.28
141;47;2025-05-29 00:00:00;55;S;22812.59
142;3;2024-10-13 00:00:00;93;E;49290.25
143;35;2026-06-21 00:00:00;277;E;28505.32
144;17;2025-01-19 00:00:00;69;S;47206.74
145;17;2026-02-24 00:00:00;182;S;133400.83
146;8;2025-01-06 00:00:00;69;E;45730.6
147;19;2024-06-17 00:00:00;77;S;25109.43
148;15;2025-03-31 00:00:00;71;S;6322.52
149;6;2024-06-05 00:00:00;18;S;2961.1
150;49;2026-02-17 00:00:00;113;S;44376.39
151;8;2026-02-25 00:00:00;5;S;3360.43
152;19;2026-01-07 00:00:00;99;S;35101.05
153;50;2024-10-29 00:00:00;73;S;43934.79
154;33;2025-05-11 00:00:00;25;S;4268.1
155;48;2024-08-07 00:00:00;89;E;5506.35
156;5;2026-01-15 00:00:00;63;S;18256.96
157;16;2025-02-09 00:00:00;14;S;6033.84
158;43;2026-06-07 00:00:00;15;S;3260.24
159;17;2026-02-22 00:00:00;120;S;87014.05
160;9;2024-07-13 00:00:00;60;S;7571.82
161;37;2024-09-16 00:00:00;242;E;114034.87
162;23;2025-01-06 00:00:00;41;S;24065.71
163;12;2025-10-18 00:00:00;36;S;11447.75
164;26;2026-04-04 00:00:00;97;E;43951.41
165;1;2026-01-15 00:00:00;180;E;15824.43
166;13;2025-11-25 00:00:00;70;S;14564.24
167;48;2025-10-21 00:00:00;310;E;19848.23
168;29;2025-06-22 00:00:00;73;E;40241.43
169;37;2026-06-04 00:00:00;307;E;152932.59
170;40;2024-09-18 00:00:00;493;E;244079.01
171;48;2025-03-21 00:00:00;220;E;12376.23
172;1;2024-07-23 00:00:00;301;E;22658.97
173;18;2024-08-23 00:00:00;16;S;1864.62
174;17;2024-09-18 00:00:00;72;S;44176.34
175;22;2026-06-02 00:00:00;711;E;476578.44
176;30;2025-12-31 00:00:00;64;S;12367.55
177;45;2025-09-28 00:00:00;12;S;1224.81
178;12;2025-01-09 00:00:00;345;E;114513.34
179;2;2024-11-11 00:00:00;31;S;22721.05
180;45;2025-10-14 00:00:00;6;S;772.06
181;2;2024-06-22 00:00:00;101;E;63915.44
182;44;2024-11-17 00:00:00;79;S;16759.74
183;1;2026-03-02 00:00:00;110;S;8882.75
184;8;2026-01-14 00:00:00;44;S;25178.13
185;29;2026-05-11 00:00:00;28;S;15372.41
186;34;2024-09-13 00:00:00;186;S;34319.27
187;2;2025-04-25 00:00:00;104;E;68635.9
188;11;2024-08-02 00:00:00;94;S;69020.82
189;22;2024-07-15 00:00:00;409;E;240974.78
190;46;2025-05-29 00:00:00;58;S;31370.04
191;39;2025-11-26 00:00:00;1205;E;607626.0
192;6;2024-10-17 00:00:00;37;S;6273.16
193;43;2024-09-26 00:00:00;106;E;25680.46
194;3;2025-07-19 00:00:00;54;S;26108.93
195;34;2024-11-05 00:00:00;456;E;74874.34
196;19;2025-09-10 00:00:00;101;S;28039.04
197;8;2025-05-22 00:00:00;23;S;15124.8
198;5;2024-12-24 00:00:00;29;S;7762.1
199;5;2025-03-26 00:00:00;55;S;14141.1
200;40;2026-05-22 00:00:00;112;S;48889.39
201;25;2025-07-03 00:00:00;210;S;95589.59
202;5;2024-10-04 00:00:00;296;E;94044.19
203;12;2025-07-15 00:00:00;263;E;99876.33
204;38;2024-08-06 00:00:00;12;S;8483.63
205;29;2025-09-07 00:00:00;5;S;2693.89
206;20;2026-01-02 00:00:00;105;E;79950.24
207;26;2025-10-04 00:00:00;208;E;94789.4
208;24;2025-06-21 00:00:00;265;E;164243.23
209;26;2025-10-10 00:00:00;7;S;3550.28
210;49;2025-01-10 00:00:00;501;E;245354.58
211;7;2024-12-30 00:00:00;26;S;15987.74
212;9;2026-04-20 00:00:00;464;E;60414.52
213;49;2024-10-13 00:00:00;20;S;7557.77
214;29;2026-02-16 00:00:00;160;E;87770.41
215;15;2024-11-10 00:00:00;69;S;6657.96
216;16;2025-08-06 00:00:00;10;S;4466.79
217;15;2024-06-02 00:00:00;52;S;5163.1
218;3;2024-11-11 00:00:00;545;E;261903.89
219;50;2024-06-04 00:00:00;214;E;115468.58
220;16;2025-11-03 00:00:00;19;S;8963.87
221;49;2026-06-10 00:00:00;109;S;51747.26
222;1;2024-07-31 00:00:00;13;S;1107.47
223;46;2025-06-16 00:00:00;13;S;6726.98
224;23;2025-09-04 00:00:00;198;S;121052.89
225;41;2025-11-27 00:00:00;579;E;354422.72
226;30;2024-12-27 00:00:00;63;S;14318.6
227;28;2024-08-20 00:00:00;42;S;20711.81
228;5;2026-02-22 00:00:00;66;S;16050.13
229;19;2024-12-21 00:00:00;403;E;120914.27
230;40;2024-08-06 00:00:00;22;S;9819.4
231;6;2026-03-24 00:00:00;158;E;22895.52
232;34;2024-12-29 00:00:00;56;S;8789.9
233;29;2024-10-12 00:00:00;122;E;70321.79
234;36;2024-08-19 00:00:00;28;S;9866.72
235;43;2024-11-08 00:00:00;48;S;11867.55
236;47;2026-05-05 00:00:00;94;E;49101.17
237;47;2026-06-05 00:00:00;62;S;31716.98
238;1;2026-04-21 00:00:00;13;S;854.73
239;28;2024-07-06 00:00:00;15;S;6466.33
240;25;2025-08-07 00:00:00;175;S;66373.8
241;12;2024-10-01 00:00:00;50;S;18096.85
242;40;2025-06-10 00:00:00;100;S;48797.64
243;18;2026-06-18 00:00:00;23;S;2607.38
244;15;2025-11-29 00:00:00;189;S;22294.09
245;42;2024-09-22 00:00:00;55;S;26035.53
246;21;2025-07-28 00:00:00;108;S;30468.06
247;35;2026-01-11 00:00:00;87;S;9702.95
248;39;2026-01-11 00:00:00;43;S;19002.65
249;26;2025-10-08 00:00:00;55;S;22561.33
250;16;2025-02-21 00:00:00;8;S;4095.3
251;17;2024-07-09 00:00:00;28;S;17326.88
252;16;2026-03-28 00:00:00;8;S;3896.81
253;33;2025-05-17 00:00:00;28;S;5563.13
254;32;2024-06-29 00:00:00;19;S;12204.68
255;10;2025-06-30 00:00:00;77;S;14897.75
256;8;2025-04-21 00:00:00;47;S;30267.71
257;46;2025-05-27 00:00:00;47;S;20946.43
258;21;2026-03-06 00:00:00;104;S;27402.42
259;15;2026-05-17 00:00:00;78;S;7472.32
260;20;2024-12-30 00:00:00;17;S;10067.11
261;9;2025-09-15 00:00:00;389;E;50509.41
262;32;2025-01-10 00:00:00;10;S;6620.05
263;6;2025-10-07 00:00:00;9;S;1405.19
264;37;2024-10-21 00:00:00;9;S;4200.35
265;33;2024-09-01 00:00:00;5;S;780.5
266;23;2026-02-13 00:00:00;53;S;34319.93
267;31;2026-04-09 00:00:00;16;S;10457.29
268;47;2025-03-16 00:00:00;23;S;10237.83
269;39;2026-02-22 00:00:00;231;E;101870.9
270;46;2024-06-04 00:00:00;321;E;164472.47
271;39;2024-11-07 00:00:00;101;S;43438.11
272;46;2024-10-18 00:00:00;79;S;46761.27
273;5;2024-08-09 00:00:00;15;S;4723.9
274;49;2024-10-26 00:00:00;58;S;22995.44
275;49;2025-11-17 00:00:00;351;E;144633.95
276;19;2025-11-28 00:00:00;87;S;27787.44
277;26;2024-12-06 00:00:00;58;S;28456.07
278;9;2024-12-02 00:00:00;152;E;17749.36
279;25;2026-01-14 00:00:00;791;E;321129.99
280;31;2025-08-29 00:00:00;142;E;79973.33
281;12;2026-02-09 00:00:00;37;S;13892.61
282;7;2025-04-03 00:00:00;37;S;21238.0
283;19;2025-05-08 00:00:00;105;S;31367.42
284;42;2025-06-28 00:00:00;58;S;24174.17
285;6;2025-10-25 00:00:00;15;S;2557.0
286;21;2024-11-26 00:00:00;150;S;49324.7
287;35;2026-03-30 00:00:00;225;S;20581.5
288;10;2025-03-18 00:00:00;87;S;15016.71
289;50;2026-06-24 00:00:00;122;S;70322.59
290;46;2025-03-31 00:00:00;138;S;79387.05
291;29;2025-01-07 00:00:00;212;E;122601.37
292;3;2025-08-30 00:00:00;126;E;64781.18
293;15;2025-05-16 00:00:00;16;S;1719.37
294;18;2024-08-10 00:00:00;7;S;809.75
295;19;2025-12-06 00:00:00;289;E;99075.9
296;50;2024-07-20 00:00:00;23;S;11437.15
297;36;2025-08-25 00:00:00;38;S;13530.93
298;35;2024-12-09 00:00:00;54;S;6658.98
299;47;2026-02-04 00:00:00;49;S;24230.51
300;27;2024-06-25 00:00:00;513;E;121585.85
301;16;2024-09-07 00:00:00;73;E;33021.18
302;26;2026-06-23 00:00:00;42;S;19393.98
303;43;2026-01-20 00:00:00;38;S;7706.97
304;13;2024-11-18 00:00:00;117;S;23168.64
305;12;2026-03-14 00:00:00;21;S;6540.93
306;3;2024-07-06 00:00:00;22;S;10287.9
307;20;2025-03-19 00:00:00;98;E;56652.89
308;16;2026-04-23 00:00:00;174;E;77338.83
309;41;2026-06-19 00:00:00;596;E;353833.64
310;23;2024-09-17 00:00:00;114;S;72162.92
311;7;2026-03-04 00:00:00;17;S;11232.9
312;20;2025-03-03 00:00:00;35;S;24504.22
313;10;2025-08-11 00:00:00;201;E;37747.13
314;44;2024-08-01 00:00:00;48;S;8768.43
315;35;2025-06-26 00:00:00;880;E;89838.64
316;4;2024-12-17 00:00:00;62;S;30666.96
317;37;2025-07-21 00:00:00;23;S;9551.6
318;45;2026-05-07 00:00:00;164;E;17244.16
319;44;2025-12-24 00:00:00;418;E;89215.38
320;19;2025-05-29 00:00:00;43;S;14800.76
321;41;2025-07-07 00:00:00;540;E;369773.33
322;10;2026-02-10 00:00:00;93;S;16971.77
323;9;2026-04-17 00:00:00;99;S;11707.68
324;10;2024-11-18 00:00:00;295;E;42405.04
325;37;2025-02-02 00:00:00;101;E;45561.23
326;14;2024-09-24 00:00:00;213;E;88896.02
327;36;2025-05-13 00:00:00;21;S;8634.4
328;9;2024-11-20 00:00:00;33;S;4953.79
329;31;2026-01-22 00:00:00;113;E;77164.19
330;15;2026-03-03 00:00:00;101;S;11126.39
331;47;2024-11-21 00:00:00;57;S;25358.55
332;45;2024-11-21 00:00:00;137;E;16757.12
333;8;2025-03-26 00:00:00;23;S;12840.94
334;1;2024-11-22 00:00:00;477;E;36454.36
335;41;2025-12-26 00:00:00;578;E;367648.94
336;7;2025-01-24 00:00:00;387;E;254285.88
337;21;2026-04-25 00:00:00;29;S;9933.54
338;35;2024-10-06 00:00:00;76;S;7475.02
339;39;2025-01-23 00:00:00;223;E;94605.99
340;10;2025-12-31 00:00:00;47;S;8133.63
341;21;2025-05-27 00:00:00;16;S;5475.04
342;12;2025-05-30 00:00:00;403;E;130643.72
343;1;2026-02-03 00:00:00;184;E;15673.26
344;50;2025-03-28 00:00:00;203;E;101617.24
345;16;2024-08-06 00:00:00;183;E;88002.11
346;31;2026-03-29 00:00:00;16;S;10452.32
347;36;2025-03-08 00:00:00;96;E;39689.91
348;6;2025-11-07 00:00:00;20;S;3666.85
349;12;2025-01-02 00:00:00;82;S;23615.85
350;15;2025-11-19 00:00:00;128;S;12848.71
351;28;2024-08-13 00:00:00;37;S;16675.42
352;16;2024-10-29 00:00:00;20;S;8867.31
353;30;2024-10-09 00:00:00;27;S;4629.07
354;33;2025-08-02 00:00:00;23;S;3609.41
355;3;2024-10-12 00:00:00;56;S;28291.46
356;9;2025-05-12 00:00:00;24;S;3596.19
357;36;2025-04-17 00:00:00;10;S;3790.21
358;2;2025-05-08 00:00:00;31;S;21926.37
359;25;2026-04-21 00:00:00;29;S;12453.3
360;3;2026-02-12 00:00:00;46;S;24134.76
361;19;2024-06-21 00:00:00;238;E;82084.85
362;11;2026-01-10 00:00:00;38;S;26844.49
363;44;2024-09-09 00:00:00;335;E;78294.74
364;25;2024-09-18 00:00:00;72;S;27306.64
365;20;2026-01-25 00:00:00;47;E;28211.32
366;44;2026-01-09 00:00:00;57;S;12812.68
367;4;2024-11-06 00:00:00;365;E;188505.49
368;27;2026-03-18 00:00:00;119;S;34724.2
369;26;2026-01-08 00:00:00;34;S;14676.61
370;1;2026-03-14 00:00:00;155;E;11703.61
371;38;2026-03-21 00:00:00;488;E;363899.57
372;20;2026-05-31 00:00:00;149;E;112973.3
373;11;2025-12-05 00:00:00;21;S;12565.04
374;7;2026-02-06 00:00:00;58;S;36367.71
375;44;2024-12-18 00:00:00;545;E;98228.14
376;26;2025-03-30 00:00:00;111;E;59658.29
377;16;2026-02-10 00:00:00;46;S;19662.89
378;22;2026-05-21 00:00:00;76;S;50509.84
379;4;2025-10-29 00:00:00;172;E;101182.52
380;45;2026-02-04 00:00:00;35;S;4557.21
381;36;2025-07-13 00:00:00;292;E;99292.73
382;19;2025-12-05 00:00:00;831;E;258224.92
383;42;2026-04-05 00:00:00;65;S;29775.3
384;8;2025-07-06 00:00:00;30;S;15923.23
385;25;2024-09-09 00:00:00;270;E;97588.1
386;38;2025-02-06 00:00:00;61;S;34798.23
387;43;2024-10-26 00:00:00;37;S;7606.88
388;29;2025-11-29 00:00:00;5;S;2791.9
389;41;2026-03-14 00:00:00;12;S;8248.38
390;43;2025-07-08 00:00:00;25;S;5688.38
391;17;2026-02-24 00:00:00;21;S;11453.16
392;22;2024-09-07 00:00:00;18;S;13519.72
393;18;2025-12-24 00:00:00;129;E;14864.57
394;25;2025-12-11 00:00:00;64;S;27299.21
395;3;2025-05-11 00:00:00;71;S;42395.47
396;44;2025-02-05 00:00:00;219;E;39154.92
397;39;2024-11-08 00:00:00;101;S;46127.41
398;2;2024-11-21 00:00:00;203;E;142394.86
399;15;2025-03-03 00:00:00;65;S;7300.2
400;44;2024-08-21 00:00:00;55;S;12660.8
401;4;2024-12-22 00:00:00;41;S;23612.61
402;46;2024-06-04 00:00:00;757;E;333131.43
403;2;2025-02-15 00:00:00;13;S;8031.86
404;44;2025-03-04 00:00:00;210;E;46140.75
405;47;2026-04-21 00:00:00;55;S;29091.28
406;23;2026-02-17 00:00:00;757;E;356346.89
407;4;2025-02-13 00:00:00;43;S;21133.2
408;36;2026-04-06 00:00:00;550;E;192392.11
409;40;2025-06-19 00:00:00;470;E;252825.66
410;28;2024-08-18 00:00:00;29;S;11197.89
411;35;2024-09-03 00:00:00;33;S;3401.82
412;30;2026-05-22 00:00:00;5;S;1010.48
413;23;2026-04-17 00:00:00;204;S;102604.67
414;30;2024-10-29 00:00:00;40;S;7537.81
415;22;2025-12-14 00:00:00;594;E;456490.56
416;6;2025-06-15 00:00:00;133;E;23778.99
417;11;2025-07-13 00:00:00;60;S;46522.17
418;41;2026-01-14 00:00:00;571;E;313833.38
419;33;2026-03-10 00:00:00;12;S;2409.07
420;47;2025-03-12 00:00:00;21;S;9826.7
421;34;2024-12-12 00:00:00;206;S;38326.65
422;40;2025-02-09 00:00:00;14;S;6457.31
423;3;2025-03-24 00:00:00;93;S;47664.78
424;6;2026-05-03 00:00:00;35;S;5574.55
425;1;2025-02-01 00:00:00;7;S;514.56
426;1;2026-05-28 00:00:00;412;E;27973.62
427;24;2024-12-11 00:00:00;169;S;97609.99
428;22;2024-08-25 00:00:00;28;S;17632.66
429;15;2024-11-05 00:00:00;10;S;940.61
430;44;2025-04-19 00:00:00;21;S;3946.07
431;44;2025-03-07 00:00:00;86;S;19109.8
432;23;2024-08-31 00:00:00;71;S;39932.68
433;36;2024-09-26 00:00:00;9;S;3049.05
434;47;2025-09-06 00:00:00;3;S;1398.85
435;49;2024-10-10 00:00:00;43;S;21057.0
436;16;2024-11-15 00:00:00;71;S;28949.07
437;10;2025-01-28 00:00:00;39;S;6216.75
438;30;2025-05-26 00:00:00;24;S;4445.87
439;24;2025-05-11 00:00:00;18;S;10846.51
440;31;2026-03-21 00:00:00;15;S;10714.97
441;16;2024-11-26 00:00:00;27;S;11791.93
442;37;2024-12-12 00:00:00;12;S;4951.01
443;33;2024-10-12 00:00:00;9;S;1658.06
444;36;2025-11-19 00:00:00;139;S;60251.96
445;45;2025-01-10 00:00:00;12;S;1530.65
446;29;2024-07-24 00:00:00;213;E;125929.63
447;22;2026-03-30 00:00:00;409;E;307426.24
448;24;2026-01-24 00:00:00;89;S;55429.33
449;19;2024-10-28 00:00:00;85;S;29209.97
450;32;2025-07-12 00:00:00;18;S;11252.9
451;30;2025-04-20 00:00:00;12;S;2696.98
452;7;2026-01-24 00:00:00;51;S;32316.44
453;34;2024-10-22 00:00:00;217;E;36487.77
454;5;2025-12-14 00:00:00;68;S;20740.28
455;7;2024-10-09 00:00:00;119;S;88504.23
456;42;2025-06-30 00:00:00;45;S;19586.43
457;19;2026-04-11 00:00:00;40;S;13850.12
458;19;2025-04-29 00:00:00;10;S;2871.21
459;31;2024-11-30 00:00:00;13;S;8857.5
460;9;2026-04-24 00:00:00;102;S;11605.9
461;36;2026-03-08 00:00:00;214;E;87516.86
462;9;2026-04-29 00:00:00;58;S;7050.65
463;50;2025-04-15 00:00:00;63;S;34545.42
464;37;2026-04-09 00:00:00;82;E;42549.46
465;23;2026-01-19 00:00:00;321;E;158199.86
466;43;2026-06-15 00:00:00;159;E;35083.78
467;18;2024-12-06 00:00:00;316;E;42602.33
468;36;2025-08-29 00:00:00;12;S;4703.04
469;40;2025-03-20 00:00:00;14;S;7251.38
470;1;2025-12-06 00:00:00;69;S;5988.94
471;25;2025-11-29 00:00:00;97;S;36318.46
472;36;2025-03-21 00:00:00;328;E;133313.52
473;36;2026-05-06 00:00:00;32;S;11019.83
474;47;2025-04-24 00:00:00;56;S;22106.69
475;32;2025-11-19 00:00:00;25;S;15619.61
476;38;2025-05-25 00:00:00;11;S;8167.6
477;18;2025-08-27 00:00:00;193;E;23887.94
478;14;2025-01-14 00:00:00;158;E;82898.54
479;40;2024-08-25 00:00:00;6;S;2360.83
480;43;2024-10-12 00:00:00;30;S;5854.59
481;11;2024-11-14 00:00:00;132;S;95774.71
482;7;2025-07-16 00:00:00;208;E;151758.13
483;7;2024-06-02 00:00:00;17;S;11300.05
484;45;2026-02-10 00:00:00;214;E;24682.81
485;39;2025-05-03 00:00:00;14;S;7760.79
486;28;2025-09-21 00:00:00;2;S;988.47
487;45;2026-06-12 00:00:00;23;S;3112.73
488;31;2026-01-11 00:00:00;20;S;13385.31
489;43;2024-10-23 00:00:00;29;S;7037.24
490;3;2026-03-22 00:00:00;6;S;3126.02
491;47;2025-01-19 00:00:00;3;S;1269.2
492;6;2024-09-01 00:00:00;23;S;3794.04
493;41;2025-03-31 00:00:00;360;E;215830.51
494;13;2025-03-29 00:00:00;113;E;20943.93
495;17;2025-07-26 00:00:00;366;E;245047.7
496;20;2025-03-12 00:00:00;46;S;26346.79
497;32;2026-04-08 00:00:00;46;S;31699.75
498;32;2024-10-14 00:00:00;30;S;21430.99
499;2;2024-12-05 00:00:00;332;E;191700.04
500;30;2025-11-19 00:00:00;76;S;17527.86
501;37;2026-03-12 00:00:00;96;E;49791.95
502;5;2024-10-22 00:00:00;171;E;47957.52
503;45;2024-11-19 00:00:00;52;S;6371.67
504;33;2025-08-14 00:00:00;178;E;33048.58
505;42;2025-04-08 00:00:00;70;S;31944.63
506;15;2026-01-22 00:00:00;63;S;7291.47
507;19;2024-09-29 00:00:00;229;E;65784.25
508;44;2024-12-10 00:00:00;452;E;98118.04
509;45;2024-09-01 00:00:00;44;E;5791.88
510;4;2024-07-24 00:00:00;32;S;14186.4
511;7;2026-05-09 00:00:00;14;S;9744.43
512;8;2025-06-30 00:00:00;21;S;14556.7
513;32;2025-05-31 00:00:00;27;S;18618.99
514;6;2024-12-27 00:00:00;18;S;3103.81
515;23;2025-07-07 00:00:00;26;S;12685.6
516;9;2025-02-07 00:00:00;43;S;6340.47
517;14;2025-06-01 00:00:00;121;E;47051.03
518;45;2026-01-17 00:00:00;31;S;3219.8
519;10;2025-05-04 00:00:00;31;S;5851.83
520;20;2024-09-07 00:00:00;95;E;61415.5
521;11;2025-04-22 00:00:00;56;S;36871.33
522;28;2025-01-07 00:00:00;37;S;15720.67
523;22;2026-01-23 00:00:00;120;S;83386.72
524;39;2026-05-20 00:00:00;23;S;11258.69
525;33;2026-04-24 00:00:00;25;S;4741.14
526;1;2024-12-17 00:00:00;184;E;15806.86
527;35;2026-03-03 00:00:00;846;E;102938.82
528;24;2025-04-24 00:00:00;568;E;330690.01
529;12;2026-03-18 00:00:00;310;E;93262.19
530;16;2025-10-30 00:00:00;287;E;112094.84
531;47;2025-04-22 00:00:00;130;E;66732.35
532;44;2024-07-14 00:00:00;268;E;53796.15
533;21;2025-05-19 00:00:00;16;S;4933.84
534;24;2025-10-14 00:00:00;27;S;16042.79
535;43;2024-06-19 00:00:00;140;E;26494.34
